CommentId,VideoId,CommentDate,CommentLikes,Text
UgxAJ32Coii5yA3HmEd4AaABAg,5vF4si3hoRA,2022-11-01T12:58:37Z,0,"Burning theirs business and neighborhood 
INTELLIGENCE  101"
UgwefRVoMyDF7KlWpPF4AaABAg,5vF4si3hoRA,2022-10-11T03:53:59Z,0,What did the black business owners do to deserve black rioting?
UgwmQB1zUWyMv4i7fcR4AaABAg,5vF4si3hoRA,2022-09-03T04:45:16Z,0,"Reminiscent of our experience in the LA riots in 1995. I guess one could say not that we humans don’t learn from my mistakes we just don’t make the change if necessary to keep this hellish groups hate malfeasance from destroying what was once a beautiful country and still, as a foundation to be so. And no, this is not a commentary or a personal opinion of mine with regards to who is or isn’t our past, current, or even future president. 

For goodness sake we are a country, stolen by inhabitants,, acquiesced prior prior own personal wants wants wants and personal progress- every facet of the messages always been a human being prone to making errors as well as those who did do quite well at times when they showed bravery in the face of their own political demise or even worse their own life.

This It’s just simply said best  in the biblical  text, “we are simply put, failed  humans“. 

But true as this statement IS it’s becoming far too simpler to say this as we throw up our Hans in disgust then simply move on to the NEXT HELLISH & sadly predictable set of constant incidents without actual making the changes necessary for all human kind to live with respect & dignity. Certainly what I’ve said isn’t anything new- it’s been said countless times. But call me a cynic but it appears just having that mental awareness & periodically speak on it & seems enough to feel righteous therefore actually acting they’re doing enough. 🤮🙄😱🫣🥱😵‍💫🥴

 The shaded pain seems to always have been and always will be."
UgxOtBy3r5UqNuilerR4AaABAg,5vF4si3hoRA,2021-08-25T01:22:40Z,1,"I’m black, I’ve been attacked racially by police, but I do not think this is the answer."
Ugz-9UfYEamBXSi7WI14AaABAg,5vF4si3hoRA,2021-03-11T04:18:03Z,0,This shit is fake
Ugxo36bEgau_EKyUnht4AaABAg,5vF4si3hoRA,2021-03-02T22:51:33Z,0,0:28 it’s peaceful lol
UgyBUwLIxVHZyDCcYnh4AaABAg,5vF4si3hoRA,2021-02-06T19:46:50Z,0,"""You are unlawfully assembled""

USA everyone..."
Ugx0GP2TxFhl-fX44x14AaABAg,5vF4si3hoRA,2021-01-21T21:44:19Z,1,Scarlxrd - HAUNTED. anyone
UgwUGwilBA-3qUfebr94AaABAg,5vF4si3hoRA,2021-01-21T05:47:38Z,0,Let's say from today no more black men are shot and killed by cops. Would this make a statistical difference to all of the young black men killed every year? If you want to save those lives you are trying to fix the wrong problem and nothing will change.
UgwnJixtJCojGeVjCKJ4AaABAg,5vF4si3hoRA,2021-01-08T17:06:38Z,0,"if this wasn't enough to make MLK fall to his knees and cry when this happened, then everything that's happened to this date would make him curl up in his momma's lap"
Ugy1XhARk8nJslWqqAN4AaABAg,5vF4si3hoRA,2020-11-30T02:52:20Z,6,"Michael Brown reached for the gun, assaulted a store owner, run away from police, charged police. Haven’t seen you say that"
Ugx8XXBj3Pp2asRK5bB4AaABAg,5vF4si3hoRA,2020-10-27T09:49:15Z,4,She's a hell of a reporter and a tough woman...much respect
UgzE_VljhVUihS1080t4AaABAg,5vF4si3hoRA,2020-09-01T09:05:11Z,1,"Republicans or Democrats, it doesn't mater, bad people will do bad things. I vote Trump to MAGA!"
UgxJA8khqvf0NBWKTjd4AaABAg,5vF4si3hoRA,2020-07-05T09:26:08Z,0,Scarlxrd is a genius.
